,name,team,battingStyle,bowlingStyle,playingRole
0,Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder
1,Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter
2,Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter
3,Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter
4,Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
5,Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
6,David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
7,JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
8,Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter
9,Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter
10,Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
11,Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder
12,Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter
13,Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
14,Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,Allrounder
15,Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder
16,Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
17,Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
18,Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
19,Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
20,Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
21,Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
22,Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
23,David Warner,Australia,Left hand Bat,Legbreak,Opening Batter
24,Aaron Finch,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter
25,Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
26,Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
27,Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
28,Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler
29,Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler
30,Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler
31,Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
32,Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler
33,Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler
34,Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
35,Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
36,Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
37,Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
38,Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
39,Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder
40,Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
41,Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter
42,Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
43,Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
44,Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter
45,Lorcan Tucker,Ireland,Right hand Bat,,Wicketkeeper Batter
